CustomerKey,Customer_ID,Customer,City,State_Province,Country_Region,Postal_Code
11033,AW00011033,Jaime Nath,Milsons Point,New South Wales,Australia,2061
11034,AW00011034,Ebony Gonzalez,North Sydney,New South Wales,Australia,2055
11035,AW00011035,Wendy Dominguez,Cranbourne,Victoria,Australia,3977
11036,AW00011036,Jennifer Russell,National City,California,United States,91950
11037,AW00011037,Chloe Garcia,Cliffside,British Columbia,Canada,V8Y 1L1
11038,AW00011038,Diana Hernandez,Lavender Bay,New South Wales,Australia,2060
11039,AW00011039,Marc Martin,Wollongong,New South Wales,Australia,2500
11040,AW00011040,Jesse Murphy,Tacoma,Washington,United States,98403
11041,AW00011041,Amanda Carter,Glendale,California,United States,91203
11042,AW00011042,Megan Sanchez,Los Angeles,California,United States,90012
11043,AW00011043,Nathan Simmons,Glendale,California,United States,91203
11044,AW00011044,Adam Flores,Hervey Bay,Queensland,Australia,4655
11045,AW00011045,Leonard Nara,Matraville,New South Wales,Australia,2036
11046,AW00011046,Christine Yuan,Lavender Bay,New South Wales,Australia,2060
11047,AW00011047,Jaclyn Lu,Geelong,Victoria,Australia,3220
11048,AW00011048,Jeremy Powell,Sunbury,Victoria,Australia,3429
11049,AW00011049,Carol Rai,Chula Vista,California,United States,91910
11050,AW00011050,Alan Zheng,Hobart,Tasmania,Australia,7001
11051,AW00011051,Daniel Johnson,Caloundra,Queensland,Australia,4551
11052,AW00011052,Heidi Lopez,Matraville,New South Wales,Australia,2036
11053,AW00011053,Ana Price,San Diego,California,United States,92102
11054,AW00011054,Deanna Munoz,Geelong,Victoria,Australia,3220
11055,AW00011055,Gilbert Raje,East Brisbane,Queensland,Australia,4169
11056,AW00011056,Michele Nath,Newcastle,New South Wales,Australia,2300
11057,AW00011057,Carl Andersen,Lane Cove,New South Wales,Australia,1597
11058,AW00011058,Marc Diaz,Findon,South Australia,Australia,5023
11059,AW00011059,Ashlee Andersen,Townsville,Queensland,Australia,4810
11060,AW00011060,Jon Zhou,Warrnambool,Victoria,Australia,3280
11061,AW00011061,Todd Gao,Gold Coast,Queensland,Australia,4217
11062,AW00011062,Noah Powell,Portland,Oregon,United States,97205
11063,AW00011063,Angela Murphy,Redmond,Washington,United States,98052
11064,AW00011064,Chase Reed,Downey,California,United States,90241
11065,AW00011065,Jessica Henderson,La Jolla,California,United States,92806
11066,AW00011066,Grace Butler,Lebanon,Oregon,United States,97355
11067,AW00011067,Caleb Carter,Port Orchard,Washington,United States,98366
11068,AW00011068,Tiffany Liang,Warrnambool,Victoria,Australia,3280
11069,AW00011069,Carolyn Navarro,Gold Coast,Queensland,Australia,4217
11070,AW00011070,Willie Raji,Sunbury,Victoria,Australia,3429
11071,AW00011071,Linda Serrano,Hawthorne,Queensland,Australia,4171
11072,AW00011072,Casey Luo,St. Leonards,New South Wales,Australia,2065
11073,AW00011073,Amy Ye,Springwood,New South Wales,Australia,2777
11074,AW00011074,Levi Arun,Cloverdale,South Australia,Australia,6105
11075,AW00011075,Felicia Jimenez,Bendigo,Victoria,Australia,3550
11076,AW00011076,Blake Anderson,Wollongong,New South Wales,Australia,2500
11077,AW00011077,Leah Ye,Melton,Victoria,Australia,3337
11078,AW00011078,Gina Martin,Cliffside,British Columbia,Canada,V8Y 1L1
11079,AW00011079,Donald Gonzalez,Geelong,Victoria,Australia,3220
11080,AW00011080,Damien Chander,Perth,South Australia,Australia,6006
11081,AW00011081,Savannah Baker,Concord,California,United States,94519
11082,AW00011082,Angela Butler,Fremont,California,United States,94536
11083,AW00011083,Alyssa Cox,Lincoln Acres,California,United States,91950
11084,AW00011084,Lucas Phillips,Lebanon,Oregon,United States,97355
11085,AW00011085,Emily Johnson,Newport Beach,California,United States,92625
11086,AW00011086,Ryan Brown,Santa Monica,California,United States,90401
11087,AW00011087,Tamara Liang,Chula Vista,California,United States,91910
11088,AW00011088,Hunter Davis,San Diego,California,United States,92102
11089,AW00011089,Abigail Price,Long Beach,California,United States,90802
11090,AW00011090,Trevor Bryant,Los Angeles,California,United States,90012
11091,AW00011091,Dalton Perez,Haney,British Columbia,Canada,V2W 1W2
11092,AW00011092,Cheryl Diaz,East Brisbane,Queensland,Australia,4169
11093,AW00011093,Aimee He,Wollongong,New South Wales,Australia,2500
11094,AW00011094,Cedric Ma,Cranbourne,Victoria,Australia,3977
11095,AW00011095,Chad Kumar,Port Macquarie,New South Wales,Australia,2444
11096,AW00011096,Andrés Anand,North Sydney,New South Wales,Australia,2055
11097,AW00011097,Edwin Nara,Warrnambool,Victoria,Australia,3280
11098,AW00011098,Mallory Rubio,Rhodes,New South Wales,Australia,2138
11099,AW00011099,Adam Ross,Port Macquarie,New South Wales,Australia,2444
11100,AW00011100,Latasha Navarro,Cloverdale,South Australia,Australia,6105
11101,AW00011101,Abby Sai,Cranbourne,Victoria,Australia,3977
11102,AW00011102,Julia Nelson,Sydney,New South Wales,Australia,1002
11103,AW00011103,Cassie Chande,Darlinghurst,New South Wales,Australia,2010
11104,AW00011104,Edgar Sara,Gold Coast,Queensland,Australia,4217
11105,AW00011105,Candace Fernandez,Matraville,New South Wales,Australia,2036
11106,AW00011106,Jessie Liu,Warrnambool,Victoria,Australia,3280
11107,AW00011107,Bianca Lin,St. Leonards,New South Wales,Australia,2065
11108,AW00011108,Kari Alvarez,Port Macquarie,New South Wales,Australia,2444
11109,AW00011109,Ruben Kapoor,South Melbourne,Victoria,Australia,3205
11110,AW00011110,Curtis Yang,Darlinghurst,New South Wales,Australia,2010
11111,AW00011111,Meredith Gutierrez,Geelong,Victoria,Australia,3220
11112,AW00011112,Crystal Wang,Hervey Bay,Queensland,Australia,4655
11113,AW00011113,Micheal Blanco,Perth,South Australia,Australia,6006
11114,AW00011114,Leslie Moreno,Rhodes,New South Wales,Australia,2138
11115,AW00011115,Alvin Cai,St. Leonards,New South Wales,Australia,2065
11116,AW00011116,Clinton Carlson,Sydney,New South Wales,Australia,1002
11117,AW00011117,April Deng,Matraville,New South Wales,Australia,2036
11118,AW00011118,Alvin Zeng,Lavender Bay,New South Wales,Australia,2060
11119,AW00011119,Evan James,Port Macquarie,New South Wales,Australia,2444
11120,AW00011120,Beth Jiménez,Sydney,New South Wales,Australia,1002
11121,AW00011121,Orlando Suarez,Newcastle,New South Wales,Australia,2300
11122,AW00011122,Byron Vazquez,North Sydney,New South Wales,Australia,2055
11123,AW00011123,Philip Alvarez,Sunbury,Victoria,Australia,3429
11124,AW00011124,Ross Jordan,Warrnambool,Victoria,Australia,3280
11125,AW00011125,Dana Navarro,Seaford,Victoria,Australia,3198
11126,AW00011126,Shaun Carson,North Ryde,New South Wales,Australia,2113
11127,AW00011127,Jan Edwards,San Gabriel,California,United States,91776
11128,AW00011128,Samantha Long,Renton,Washington,United States,98055
11129,AW00011129,Julia Wright,Sedro Woolley,Washington,United States,98284
11130,AW00011130,Caroline Russell,Lebanon,Oregon,United States,97355
11131,AW00011131,Amanda Rivera,Haney,British Columbia,Canada,V2W 1W2
11132,AW00011132,Melissa Richardson,Langford,British Columbia,Canada,V9
11133,AW00011133,Angela Griffin,Lake Oswego,Oregon,United States,97034
11134,AW00011134,Larry Townsend,Perth,South Australia,Australia,6006
11135,AW00011135,Marcus Harris,Burlingame,California,United States,94010
11136,AW00011136,Brianna Morgan,Metchosin,British Columbia,Canada,V9
11137,AW00011137,Jasmine Taylor,Spokane,Washington,United States,99202
11138,AW00011138,Lauren Davis,Glendale,California,United States,91203
11139,AW00011139,Tanya Moreno,Cloverdale,South Australia,Australia,6105
11140,AW00011140,Javier Alvarez,Burbank,California,United States,91502
11141,AW00011141,Nicole Ramirez,Daly City,California,United States,94015
11142,AW00011142,Eduardo Patterson,Langford,British Columbia,Canada,V9
11143,AW00011143,Jonathan Henderson,Lakewood,California,United States,90712
11144,AW00011144,Edward Hernandez,Ballard,Washington,United States,98107
11145,AW00011145,Jasmine Coleman,Beaverton,Oregon,United States,97005
11146,AW00011146,Karla Goel,Matraville,New South Wales,Australia,2036
11147,AW00011147,Ernest Wu,Warrnambool,Victoria,Australia,3280
11148,AW00011148,Ross Vazquez,East Brisbane,Queensland,Australia,4169
11149,AW00011149,Theodore Gill,Hervey Bay,Queensland,Australia,4655
11150,AW00011150,Russell Shen,Sunbury,Victoria,Australia,3429
11151,AW00011151,Melinda Gill,Sydney,New South Wales,Australia,1002
11152,AW00011152,James Williams,Puyallup,Washington,United States,98371
11153,AW00011153,Angela James,Renton,Washington,United States,98055
11154,AW00011154,Megan Walker,Woodburn,Oregon,United States,97071
11155,AW00011155,Hunter Robinson,Burbank,California,United States,91502
11156,AW00011156,Maria Roberts,Lakewood,California,United States,90712
11157,AW00011157,Hannah Long,Tacoma,Washington,United States,98403
11158,AW00011158,Jason Wright,San Gabriel,California,United States,91776
11159,AW00011159,Brianna Hughes,Woodland Hills,California,United States,91364
11160,AW00011160,Maurice Tang,Concord,California,United States,94519
11161,AW00011161,Emily Wood,Concord,California,United States,94519
11162,AW00011162,Chase Cox,La Jolla,California,United States,92806
11163,AW00011163,Gabriel Wang,Spring Valley,California,United States,91977
11164,AW00011164,Devin Brooks,Torrance,California,United States,90505
11165,AW00011165,Jocelyn Alexander,Oakland,California,United States,94611
11166,AW00011166,Ashley Martinez,Olympia,Washington,United States,98501
11167,AW00011167,Jasmine Barnes,Issaquah,Washington,United States,98027
11168,AW00011168,David Rodriguez,Oakland,California,United States,94611
11169,AW00011169,Bryce Richardson,Coronado,California,United States,92118
11170,AW00011170,Carol Howard,Burien,Washington,United States,98168
11171,AW00011171,Jonathan Hill,Woodland Hills,California,United States,91364
11172,AW00011172,Gabrielle Adams,Lynnwood,Washington,United States,98036
11173,AW00011173,Sarah Thomas,W. Linn,Oregon,United States,97068
11174,AW00011174,Nicholas Robinson,Los Angeles,California,United States,90012
11175,AW00011175,Luis Wang,Beverly Hills,California,United States,90210
11176,AW00011176,Mason Roberts,Haney,British Columbia,Canada,V2W 1W2
11177,AW00011177,Jose Flores,San Diego,California,United States,92102
11178,AW00011178,Nathan Johnson,Lakewood,California,United States,90712
11179,AW00011179,Molly Rodriguez,Beverly Hills,California,United States,90210
11180,AW00011180,April Anand,Chula Vista,California,United States,91910
11181,AW00011181,Devin Martin,Los Angeles,California,United States,90012
11182,AW00011182,Stephanie Torres,Sedro Woolley,Washington,United States,98284
11183,AW00011183,Jasmine Lee,Santa Cruz,California,United States,95062
11184,AW00011184,Meghan Hernandez,Concord,California,United States,94519
11185,AW00011185,Ashley Henderson,Metchosin,British Columbia,Canada,V9
11186,AW00011186,Sarah Price,Palo Alto,California,United States,94303
11187,AW00011187,Jennifer Cooper,Burien,Washington,United States,98168
11188,AW00011188,Catherine Morris,San Gabriel,California,United States,91776
11189,AW00011189,Lawrence Blanco,Bellingham,Washington,United States,98225
11190,AW00011190,Carson Bryant,Beverly Hills,California,United States,90210
11191,AW00011191,Kristi Perez,Colma,California,United States,94014
11192,AW00011192,James Brown,Seattle,Washington,United States,98104
11193,AW00011193,Ian Gray,Woodburn,Oregon,United States,97071
11194,AW00011194,Jacqueline Price,Palo Alto,California,United States,94303
11195,AW00011195,Megan Henderson,Renton,Washington,United States,98055
11196,AW00011196,Alfredo Romero,Beaverton,Oregon,United States,97005
11197,AW00011197,Andrea Morris,Seattle,Washington,United States,98104
11198,AW00011198,Brooke Sanders,Santa Cruz,California,United States,95062
11199,AW00011199,Jacqueline Bennett,Burlingame,California,United States,94010
11200,AW00011200,Jason Griffin,Victoria,British Columbia,Canada,V8V
11201,AW00011201,Amanda Foster,Santa Monica,California,United States,90401
11202,AW00011202,Alexia Price,Lakewood,California,United States,90712
11203,AW00011203,Luis Diaz,Port Hammond,British Columbia,Canada,V6B 3P7
11204,AW00011204,Destiny Rivera,Beaverton,Oregon,United States,97005
11205,AW00011205,Abby Fernandez,Burien,Washington,United States,98168
11206,AW00011206,Blake Flores,Lynnwood,Washington,United States,98036
11207,AW00011207,Danielle Cox,Renton,Washington,United States,98055
11208,AW00011208,Maria Reed,Glendale,California,United States,91203
11209,AW00011209,Allison Evans,Lincoln Acres,California,United States,91950
11210,AW00011210,Edward Wood,West Covina,California,United States,91791
11211,AW00011211,Samantha Russell,Haney,British Columbia,Canada,V2W 1W2
11212,AW00011212,Chloe Campbell,Metchosin,British Columbia,Canada,V9
11213,AW00011213,Stephanie Murphy,Edmonds,Washington,United States,98020
11214,AW00011214,Charles Miller,Milwaukie,Oregon,United States,97222
11215,AW00011215,Ana Perry,Royal Oak,British Columbia,Canada,V8X
11216,AW00011216,Jasmine Torres,Portland,Oregon,United States,97205
11217,AW00011217,Natalie Adams,Portland,Oregon,United States,97205
11218,AW00011218,Olivia Brown,Tacoma,Washington,United States,98403
11219,AW00011219,Charles Cook,Woodburn,Oregon,United States,97071
11220,AW00011220,Erica Huang,Colma,California,United States,94014
11221,AW00011221,Nathan Perry,Lakewood,California,United States,90712
11222,AW00011222,Alexandra Rivera,Santa Monica,California,United States,90401
11223,AW00011223,Hailey Patterson,Langley,British Columbia,Canada,V3A 4R2
11224,AW00011224,Tiffany Li,Burien,Washington,United States,98168
11225,AW00011225,Madison Lee,Renton,Washington,United States,98055
11226,AW00011226,Sydney Ross,W. Linn,Oregon,United States,97068
11227,AW00011227,Marshall Chavez,Colma,California,United States,94014
11228,AW00011228,Ashley Jones,El Cajon,California,United States,92020
11229,AW00011229,Adrian Stewart,Redwood City,California,United States,94063
11230,AW00011230,Amber Turner,Santa Monica,California,United States,90401
11231,AW00011231,Dennis Zhang,Bremerton,Washington,United States,98312
11232,AW00011232,Hailey Bryant,Everett,Washington,United States,98201
11233,AW00011233,Todd Li,Berkeley,California,United States,94704
11234,AW00011234,Anna Griffin,Long Beach,California,United States,90802
11235,AW00011235,Angel Stewart,Ballard,Washington,United States,98107
11236,AW00011236,Jeremy Butler,Bellingham,Washington,United States,98225
11237,AW00011237,Clarence Anand,Solingen,Nordrhein-Westfalen,Germany,42651
11238,AW00011238,Mayra Prasad,Birmingham,England,United Kingdom,B29 6SL
11239,AW00011239,Latoya Goel,London,England,United Kingdom,SW1P 2NU
11240,AW00011240,Anne Hernandez,Watford,England,United Kingdom,WA3
11241,AW00011241,Lisa Cai,Les Ulis,Essonne,France,91940
11242,AW00011242,Larry Munoz,Versailles,Yveline,France,78000
11243,AW00011243,Robin Alvarez,Esher-Molesey,England,United Kingdom,EM15
11244,AW00011244,Alexis Coleman,Runcorn,England,United Kingdom,TY31
11245,AW00011245,Ricky Vazquez,Hamburg,Hessen,Germany,22001
11246,AW00011246,Latasha Rubio,Hamburg,Hamburg,Germany,20354
11247,AW00011247,Claudia Zhou,Lancaster,England,United Kingdom,LA1 1LN
11248,AW00011248,Tristan Alexander,Saint-Denis,Seine Saint Denis,France,93400
11249,AW00011249,Cindy Patel,Sulzbach Taunus,Saarland,Germany,66272
11250,AW00011250,Shannon Liu,Woolston,England,United Kingdom,WA1 4SY
11251,AW00011251,Xavier Long,Haney,British Columbia,Canada,V2W 1W2
11252,AW00011252,Nicholas Thompson,Lemon Grove,California,United States,91945
11253,AW00011253,José Hernandez,Victoria,British Columbia,Canada,V8V
11254,AW00011254,Johnathan Vance,Burien,Washington,United States,98168
11255,AW00011255,Colin Lin,Burien,Washington,United States,98168
11256,AW00011256,Katelyn Hernandez,Lynnwood,Washington,United States,98036
11257,AW00011257,Jacqueline Powell,Newport Beach,California,United States,92625
11258,AW00011258,Xavier Hill,Palo Alto,California,United States,94303
11259,AW00011259,Victoria Stewart,Salem,Oregon,United States,97301
11260,AW00011260,Katelyn Kelly,Burlingame,California,United States,94010
11261,AW00011261,Stephanie Collins,San Diego,California,United States,92102
11262,AW00011262,Jennifer Simmons,Port Hammond,British Columbia,Canada,V6B 3P7
11263,AW00011263,Trinity Richardson,Burien,Washington,United States,98168
11264,AW00011264,Eduardo Martin,Issaquah,Washington,United States,98027
11265,AW00011265,Elizabeth Jones,Kirkland,Washington,United States,98033
11266,AW00011266,Taylor Howard,Port Orchard,Washington,United States,98366
11267,AW00011267,David Diaz,Burlingame,California,United States,94010
11268,AW00011268,Katelyn Carter,Coronado,California,United States,92118
11269,AW00011269,Ryan Foster,Daly City,California,United States,94015
11270,AW00011270,Robert Lee,Lakewood,California,United States,90712
11271,AW00011271,Danielle Reed,San Francisco,California,United States,94109
11272,AW00011272,Lauren Martinez,Beverly Hills,California,United States,90210
11273,AW00011273,Nathan Lal,La Jolla,California,United States,92806
11274,AW00011274,Kyle Foster,Bellingham,Washington,United States,98225
11275,AW00011275,Jenny Rai,Colma,California,United States,94014
11276,AW00011276,Nancy Chapman,Cliffside,British Columbia,Canada,V8Y 1L1
11277,AW00011277,Charles Jackson,Royal Oak,British Columbia,Canada,V8X
11278,AW00011278,Jonathan Phillips,Edmonds,Washington,United States,98020
11279,AW00011279,Amanda Cook,Everett,Washington,United States,98201
11280,AW00011280,Robert Collins,Lynnwood,Washington,United States,98036
11281,AW00011281,Megan Barnes,Burbank,California,United States,91502
11282,AW00011282,Christian Thomas,Burien,Washington,United States,98168
11283,AW00011283,Arturo Lal,Berkeley,California,United States,94704
11284,AW00011284,Theresa Serrano,Chula Vista,California,United States,91910
11285,AW00011285,Jeremy Anderson,Fremont,California,United States,94536
11286,AW00011286,Hunter Griffin,Torrance,California,United States,90505
11287,AW00011287,Henry Garcia,Cliffside,British Columbia,Canada,V8Y 1L1
11288,AW00011288,Cindy Sanchez,Burbank,California,United States,91502
11289,AW00011289,Maria Carter,Downey,California,United States,90241
11290,AW00011290,Katelyn Sanchez,Lakewood,California,United States,90712
11291,AW00011291,Jenna Wright,Lemon Grove,California,United States,91945
11292,AW00011292,Seth Phillips,San Gabriel,California,United States,91776
11293,AW00011293,Luke Long,Port Orchard,Washington,United States,98366
11294,AW00011294,Dalton Clark,Issaquah,Washington,United States,98027
11295,AW00011295,Taylor Lewis,Concord,California,United States,94519
11296,AW00011296,Haley Richardson,Everett,Washington,United States,98201
11297,AW00011297,Noah Coleman,Burbank,California,United States,91502
11298,AW00011298,Jon Luo,Chula Vista,California,United States,91910
11299,AW00011299,Orlando Vazquez,Burbank,California,United States,91502
11300,AW00011300,Fernando Barnes,N. Vancouver,British Columbia,Canada,V7L 4J4
11301,AW00011301,Cameron Rodriguez,Ballard,Washington,United States,98107
11302,AW00011302,Spencer Russell,Corvallis,Oregon,United States,97330
11303,AW00011303,Julia Coleman,Edmonds,Washington,United States,98020
11304,AW00011304,Julia Garcia,Portland,Oregon,United States,97205
11305,AW00011305,Sean Evans,Chula Vista,California,United States,91910
11306,AW00011306,Micah Zhou,Coronado,California,United States,92118
11307,AW00011307,Hunter Rodriguez,Daly City,California,United States,94015
11308,AW00011308,Ian Gonzales,Oregon City,Oregon,United States,97045
11309,AW00011309,Victoria Lewis,Beaverton,Oregon,United States,97005
11310,AW00011310,Erin Sanders,San Francisco,California,United States,94109
11311,AW00011311,Gabrielle Lopez,Lynnwood,Washington,United States,98036
11312,AW00011312,Sara Richardson,Lynnwood,Washington,United States,98036
11313,AW00011313,Trevor Jenkins,Port Orchard,Washington,United States,98366
11314,AW00011314,Mya Flores,Issaquah,Washington,United States,98027
11315,AW00011315,Hailey Ward,Port Orchard,Washington,United States,98366
11316,AW00011316,Luke Allen,Langford,British Columbia,Canada,V9
11317,AW00011317,Victoria Russell,Salem,Oregon,United States,97301
11318,AW00011318,Jessica Wilson,Edmonds,Washington,United States,98020
11319,AW00011319,Jade Bailey,Oakland,California,United States,94611
11320,AW00011320,Morgan Hill,Glendale,California,United States,91203
11321,AW00011321,Terrance Raman,Burien,Washington,United States,98168
11322,AW00011322,Sydney Garcia,Bremerton,Washington,United States,98312
11323,AW00011323,Jose Patterson,Daly City,California,United States,94015
11324,AW00011324,Zachary Anderson,Glendale,California,United States,91203
11325,AW00011325,Elijah Ross,Seattle,Washington,United States,98104
11326,AW00011326,Rafael Xie,Beverly Hills,California,United States,90210
11327,AW00011327,Jaime Moreno,Burbank,California,United States,91502
11328,AW00011328,Julian Griffin,Newton,British Columbia,Canada,V2L3W8
11329,AW00011329,Andy Alvarez,Concord,California,United States,94519
11330,AW00011330,Ryan Thompson,Oak Bay,British Columbia,Canada,V8P
11331,AW00011331,Samantha Jenkins,Shawnee,British Columbia,Canada,V8Z 4N5
11332,AW00011332,Deanna Ramos,Berlin,Nordrhein-Westfalen,Germany,14197
11333,AW00011333,Emily Miller,Newcastle upon Tyne,England,United Kingdom,NT20
11334,AW00011334,Nicole Brown,Stoke-on-Trent,England,United Kingdom,AS23
11335,AW00011335,Carla Raman,Hof,Bayern,Germany,95010
11336,AW00011336,Shaun Raji,Paris,Seine (Paris),France,75019
11337,AW00011337,Jerome Romero,Watford,England,United Kingdom,WA3
11338,AW00011338,Frank Navarro,Bonn,Nordrhein-Westfalen,Germany,53131
11339,AW00011339,Dennis She,Paris,Seine (Paris),France,75016
11340,AW00011340,Melody Munoz,Paris,Seine (Paris),France,75002
11341,AW00011341,Randy Zeng,Cheltenham,England,United Kingdom,GL50
11342,AW00011342,Marshall Wang,Boulogne-sur-Mer,Pas de Calais,France,62200
11343,AW00011343,Arthur Carlson,Oxon,England,United Kingdom,OX16 8RS
11344,AW00011344,Jessie Jimenez,Oxford,England,United Kingdom,OX1
11345,AW00011345,Robin Ramos,Tremblay-en-France,Seine Saint Denis,France,93290
11346,AW00011346,Deanna Gutierrez,Paris,Seine (Paris),France,75007
11347,AW00011347,Roy Navarro,Braunschweig,Nordrhein-Westfalen,Germany,38001
11348,AW00011348,Shawn Rai,Paderborn,Hamburg,Germany,33041
11349,AW00011349,Mindy Luo,München,Hessen,Germany,80074
11350,AW00011350,Cara Zhou,Peterborough,England,United Kingdom,PB12
11351,AW00011351,Anne Ramos,London,England,United Kingdom,W10 6BL
11352,AW00011352,Raymond Rodriguez,Pantin,Seine Saint Denis,France,93500
11353,AW00011353,Carrie Ortega,Warrington,England,United Kingdom,WA1
11354,AW00011354,Deanna Suarez,Grevenbroich,Bayern,Germany,41485
11355,AW00011355,Roberto Gutierrez,Wokingham,England,United Kingdom,RG41 1QW
11356,AW00011356,Terrence Carson,Lavender Bay,New South Wales,Australia,2060
11357,AW00011357,Ramon Ye,Caloundra,Queensland,Australia,4551
11358,AW00011358,Cynthia Malhotra,Coffs Harbour,New South Wales,Australia,2450
11359,AW00011359,Jarrod Prasad,Malabar,New South Wales,Australia,2036
11360,AW00011360,Tyrone Serrano,Rockhampton,Queensland,Australia,4700
11361,AW00011361,Cindy Ramos,Newcastle,New South Wales,Australia,2300
11362,AW00011362,Damien Shan,Cranbourne,Victoria,Australia,3977
11363,AW00011363,Julian Ross,Melbourne,Victoria,Australia,3000
11364,AW00011364,Jennifer Collins,Geelong,Victoria,Australia,3220
11365,AW00011365,Brittney Sun,Findon,South Australia,Australia,5023
11366,AW00011366,Virginia Patel,Seaford,Victoria,Australia,3198
11367,AW00011367,Calvin Nara,North Sydney,New South Wales,Australia,2055
11368,AW00011368,Edward Miller,Rockhampton,Queensland,Australia,4700
11369,AW00011369,Ashlee Tang,Findon,South Australia,Australia,5023
11370,AW00011370,Alicia Xu,South Melbourne,Victoria,Australia,3205
11371,AW00011371,Lacey Jai,Rockhampton,Queensland,Australia,4700
11372,AW00011372,Wendy Romero,Brisbane,Queensland,Australia,4000
11373,AW00011373,Carly Luo,Salzgitter,Hessen,Germany,38231
11374,AW00011374,Jimmy Ortega,Werne,Nordrhein-Westfalen,Germany,59368
11375,AW00011375,Francisco Martinez,High Wycombe,England,United Kingdom,HP10 9QY
11376,AW00011376,Lance Vazquez,Liverpool,England,United Kingdom,L4 4HB
11377,AW00011377,David Robinett,Solingen,Nordrhein-Westfalen,Germany,42651
11378,AW00011378,Shannon Liang,Metz,Moselle,France,57000
11379,AW00011379,Gary Vazquez,Boulogne-Billancourt,Hauts de Seine,France,92100
11380,AW00011380,Mitchell Kumar,Saarlouis,Saarland,Germany,66740
11381,AW00011381,Meredith Raman,London,England,United Kingdom,SW1P 2NU
11382,AW00011382,Edward Patterson,Roubaix,Nord,France,59100
11383,AW00011383,Marie Gill,Roissy en Brie,Seine et Marne,France,77680
11384,AW00011384,Tiffany Wang,Les Ulis,Essonne,France,91940
11385,AW00011385,Miguel Allen,York,England,United Kingdom,YO15
11386,AW00011386,Jaclyn Cai,Darmstadt,Hessen,Germany,64283
11387,AW00011387,Megan Ramirez,Gateshead,England,United Kingdom,GA10
11388,AW00011388,Joseph Martin,York,England,United Kingdom,YO15
11389,AW00011389,Karl Shan,Duesseldorf,Hessen,Germany,40605
11390,AW00011390,Christine Raji,Saint Germain en Laye,Yveline,France,78100
11391,AW00011391,Lindsay Xie,Salzgitter,Hessen,Germany,38231
11392,AW00011392,Willie Zhao,Frankfurt,Hessen,Germany,60323
11393,AW00011393,Kurt Pal,Saint Ouen,Loir et Cher,France,41100
11394,AW00011394,George McDonald,Milton Keynes,England,United Kingdom,MK8 8DF
11395,AW00011395,Beth Gutierrez,Frankfurt,Bayern,Germany,91480
11396,AW00011396,Ian Lopez,Saarlouis,Saarland,Germany,66740
11397,AW00011397,Latoya Shan,Paris,Seine (Paris),France,75008
11398,AW00011398,Colin Nath,Newcastle upon Tyne,England,United Kingdom,NT20
11399,AW00011399,Brenda Mehta,Paris,Seine (Paris),France,75016
